4_noisy_pubmed_10.txtBegin epxeriment: noisy_level: 0.2 cont_weight: 100 epoch: der1:0.3 der2:0 dfr1:0.4 dfr2:0
./run_pre_noisy.py:18: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Namespace(add_edge_rate_1=0.0, add_edge_rate_2=0.0, cl_activation='relu', cl_base_model='GCNConv', cl_lr=0.0002, cl_num_epochs=2500, cl_num_layers=2, cl_num_proj_hidden=64, cl_weight_decay=1e-05, config='config.yaml', cont_batch_size=0, cont_weight=100.0, cuda=True, dataset='Pubmed', debug=True, defense_mode='none', device_id=2, dis_weight=1, drop_edge_rate_1=0.3, drop_edge_rate_2=0.0, drop_feat_rate_1=0.4, drop_feat_rate_2=0.0, dropout=0.5, epochs=200, evaluate_mode='1by1', gpu_id=0, hidden=32, homo_boost_thrd=0.5, homo_loss_weight=100.0, inner=1, lr=0.01, model='GCN', no_cuda=False, noisy_level=0.2, num_hidden=64, num_proj_hidden=64, prune_thr=0.2, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, tau=0.4, temperature=0.5, test_model='GCN', thrd=0.5, train_lr=0.01, trigger_size=3, trojan_epochs=200, use_vs_number=True, vs_number=40, vs_ratio=0, weight_decay=0.0005)
raw graph: torch.Size([2, 88648])
add edge: torch.Size([2, 106338])
remove edge: torch.Size([2, 70830])
updated graph: torch.Size([2, 88520])
=== Noisy graph ===
/home/project-robust-contrastive/Robust-Contrastive-Learning/model.py:226: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.labels = torch.tensor(labels, dtype=torch.long)
=== training gcn model ===
Epoch 0, training loss: 1059.309326171875 = 1.083004117012024 + 100.0 * 10.582262992858887
Epoch 0, val loss: 1.0838348865509033
Epoch 10, training loss: 1059.2659912109375 = 1.0797984600067139 + 100.0 * 10.58186149597168
Epoch 10, val loss: 1.0806342363357544
Epoch 20, training loss: 1059.1131591796875 = 1.0763323307037354 + 100.0 * 10.580368995666504
Epoch 20, val loss: 1.0771842002868652
Epoch 30, training loss: 1058.507568359375 = 1.0726327896118164 + 100.0 * 10.574349403381348
Epoch 30, val loss: 1.0735080242156982
Epoch 40, training loss: 1056.173828125 = 1.0686899423599243 + 100.0 * 10.551051139831543
Epoch 40, val loss: 1.0696032047271729
Epoch 50, training loss: 1048.306396484375 = 1.0645337104797363 + 100.0 * 10.472417831420898
Epoch 50, val loss: 1.0655251741409302
Epoch 60, training loss: 1024.54931640625 = 1.0604331493377686 + 100.0 * 10.234888076782227
Epoch 60, val loss: 1.0614970922470093
Epoch 70, training loss: 974.5687255859375 = 1.0559817552566528 + 100.0 * 9.735127449035645
Epoch 70, val loss: 1.0570857524871826
Epoch 80, training loss: 954.8825073242188 = 1.0518662929534912 + 100.0 * 9.53830623626709
Epoch 80, val loss: 1.053184151649475
Epoch 90, training loss: 948.8098754882812 = 1.0489991903305054 + 100.0 * 9.477608680725098
Epoch 90, val loss: 1.0505647659301758
Epoch 100, training loss: 939.8062133789062 = 1.0467119216918945 + 100.0 * 9.387595176696777
Epoch 100, val loss: 1.0484230518341064
Epoch 110, training loss: 926.9706420898438 = 1.0445456504821777 + 100.0 * 9.259261131286621
Epoch 110, val loss: 1.046305775642395
Epoch 120, training loss: 912.3021240234375 = 1.0427604913711548 + 100.0 * 9.112593650817871
Epoch 120, val loss: 1.0445570945739746
Epoch 130, training loss: 901.9644775390625 = 1.041649580001831 + 100.0 * 9.009228706359863
Epoch 130, val loss: 1.0433963537216187
Epoch 140, training loss: 896.2919921875 = 1.0403848886489868 + 100.0 * 8.952515602111816
Epoch 140, val loss: 1.0420796871185303
Epoch 150, training loss: 891.7067260742188 = 1.0388109683990479 + 100.0 * 8.906679153442383
Epoch 150, val loss: 1.0405819416046143
Epoch 160, training loss: 887.8734130859375 = 1.0376521348953247 + 100.0 * 8.86835765838623
Epoch 160, val loss: 1.0395089387893677
Epoch 170, training loss: 885.9075927734375 = 1.0367764234542847 + 100.0 * 8.848708152770996
Epoch 170, val loss: 1.0386509895324707
Epoch 180, training loss: 884.7200927734375 = 1.0356367826461792 + 100.0 * 8.836844444274902
Epoch 180, val loss: 1.0375339984893799
Epoch 190, training loss: 883.47802734375 = 1.0344154834747314 + 100.0 * 8.82443618774414
Epoch 190, val loss: 1.0363892316818237
Epoch 200, training loss: 881.969482421875 = 1.0334454774856567 + 100.0 * 8.80936050415039
Epoch 200, val loss: 1.0354762077331543
Epoch 210, training loss: 879.9237670898438 = 1.0327836275100708 + 100.0 * 8.788909912109375
Epoch 210, val loss: 1.0348564386367798
Epoch 220, training loss: 877.2493286132812 = 1.0324362516403198 + 100.0 * 8.762168884277344
Epoch 220, val loss: 1.0345373153686523
Epoch 230, training loss: 874.12646484375 = 1.0323070287704468 + 100.0 * 8.730941772460938
Epoch 230, val loss: 1.0344350337982178
Epoch 240, training loss: 871.6109619140625 = 1.0322140455245972 + 100.0 * 8.705787658691406
Epoch 240, val loss: 1.0343186855316162
Epoch 250, training loss: 869.378662109375 = 1.031856656074524 + 100.0 * 8.683467864990234
Epoch 250, val loss: 1.0339596271514893
Epoch 260, training loss: 867.1387329101562 = 1.0314154624938965 + 100.0 * 8.661072731018066
Epoch 260, val loss: 1.033547043800354
Epoch 270, training loss: 865.3756713867188 = 1.0310050249099731 + 100.0 * 8.643446922302246
Epoch 270, val loss: 1.033118724822998
Epoch 280, training loss: 863.3899536132812 = 1.0304840803146362 + 100.0 * 8.623595237731934
Epoch 280, val loss: 1.032627820968628
Epoch 290, training loss: 861.7564697265625 = 1.029842495918274 + 100.0 * 8.607266426086426
Epoch 290, val loss: 1.0320225954055786
Epoch 300, training loss: 860.43017578125 = 1.0291321277618408 + 100.0 * 8.594010353088379
Epoch 300, val loss: 1.031358003616333
Epoch 310, training loss: 858.95361328125 = 1.0283225774765015 + 100.0 * 8.579253196716309
Epoch 310, val loss: 1.0306248664855957
Epoch 320, training loss: 857.8513793945312 = 1.0274549722671509 + 100.0 * 8.568239212036133
Epoch 320, val loss: 1.0298393964767456
Epoch 330, training loss: 857.0732421875 = 1.026536464691162 + 100.0 * 8.560466766357422
Epoch 330, val loss: 1.0289958715438843
Epoch 340, training loss: 856.088134765625 = 1.025558352470398 + 100.0 * 8.550625801086426
Epoch 340, val loss: 1.0281070470809937
Epoch 350, training loss: 855.2520141601562 = 1.0246108770370483 + 100.0 * 8.542274475097656
Epoch 350, val loss: 1.0272282361984253
Epoch 360, training loss: 854.5530395507812 = 1.0236895084381104 + 100.0 * 8.535293579101562
Epoch 360, val loss: 1.0263534784317017
Epoch 370, training loss: 853.8488159179688 = 1.0226824283599854 + 100.0 * 8.528261184692383
Epoch 370, val loss: 1.025466799736023
Epoch 380, training loss: 853.093994140625 = 1.0216730833053589 + 100.0 * 8.520723342895508
Epoch 380, val loss: 1.024518370628357
Epoch 390, training loss: 852.4318237304688 = 1.0205801725387573 + 100.0 * 8.51411247253418
Epoch 390, val loss: 1.0235202312469482
Epoch 400, training loss: 851.7510986328125 = 1.0194282531738281 + 100.0 * 8.507316589355469
Epoch 400, val loss: 1.0224405527114868
Epoch 410, training loss: 851.2754516601562 = 1.018227219581604 + 100.0 * 8.502572059631348
Epoch 410, val loss: 1.0213202238082886
Epoch 420, training loss: 850.8212890625 = 1.0169041156768799 + 100.0 * 8.49804401397705
Epoch 420, val loss: 1.020084023475647
Epoch 430, training loss: 850.2531127929688 = 1.0155366659164429 + 100.0 * 8.492375373840332
Epoch 430, val loss: 1.0187931060791016
Epoch 440, training loss: 849.791259765625 = 1.0141305923461914 + 100.0 * 8.487771034240723
Epoch 440, val loss: 1.017500877380371
Epoch 450, training loss: 849.7039794921875 = 1.0126497745513916 + 100.0 * 8.486913681030273
Epoch 450, val loss: 1.0161538124084473
Epoch 460, training loss: 849.11328125 = 1.0110845565795898 + 100.0 * 8.481021881103516
Epoch 460, val loss: 1.0146085023880005
Epoch 470, training loss: 848.7796630859375 = 1.0094537734985352 + 100.0 * 8.477702140808105
Epoch 470, val loss: 1.0130786895751953
Epoch 480, training loss: 848.4761352539062 = 1.0077636241912842 + 100.0 * 8.47468376159668
Epoch 480, val loss: 1.011528491973877
Epoch 490, training loss: 848.2221069335938 = 1.00602388381958 + 100.0 * 8.472160339355469
Epoch 490, val loss: 1.0098797082901
Epoch 500, training loss: 848.0447998046875 = 1.0041358470916748 + 100.0 * 8.470406532287598
Epoch 500, val loss: 1.0081266164779663
Epoch 510, training loss: 847.8882446289062 = 1.0021731853485107 + 100.0 * 8.468860626220703
Epoch 510, val loss: 1.0062915086746216
Epoch 520, training loss: 847.5280151367188 = 1.0002597570419312 + 100.0 * 8.465277671813965
Epoch 520, val loss: 1.0044927597045898
Epoch 530, training loss: 847.3023681640625 = 0.9983336925506592 + 100.0 * 8.463040351867676
Epoch 530, val loss: 1.0026986598968506
Epoch 540, training loss: 847.0784301757812 = 0.9963698983192444 + 100.0 * 8.460820198059082
Epoch 540, val loss: 1.0008726119995117
Epoch 550, training loss: 847.1477661132812 = 0.9943567514419556 + 100.0 * 8.461533546447754
Epoch 550, val loss: 0.9990585446357727
Epoch 560, training loss: 846.772705078125 = 0.9922475814819336 + 100.0 * 8.457804679870605
Epoch 560, val loss: 0.9969977736473083
Epoch 570, training loss: 846.4877319335938 = 0.9901111721992493 + 100.0 * 8.454976081848145
Epoch 570, val loss: 0.9950342774391174
Epoch 580, training loss: 846.284912109375 = 0.9880231618881226 + 100.0 * 8.45296859741211
Epoch 580, val loss: 0.9930903911590576
Epoch 590, training loss: 846.079345703125 = 0.9859119057655334 + 100.0 * 8.450934410095215
Epoch 590, val loss: 0.991121232509613
Epoch 600, training loss: 845.8984985351562 = 0.9837605357170105 + 100.0 * 8.44914722442627
Epoch 600, val loss: 0.9891371130943298
Epoch 610, training loss: 845.7285766601562 = 0.9814964532852173 + 100.0 * 8.447470664978027
Epoch 610, val loss: 0.9870028495788574
Epoch 620, training loss: 845.5731201171875 = 0.9791495203971863 + 100.0 * 8.445940017700195
Epoch 620, val loss: 0.984838604927063
Epoch 630, training loss: 845.3811645507812 = 0.9768757224082947 + 100.0 * 8.444043159484863
Epoch 630, val loss: 0.9827346801757812
Epoch 640, training loss: 845.1785888671875 = 0.9746137261390686 + 100.0 * 8.442039489746094
Epoch 640, val loss: 0.9806308150291443
Epoch 650, training loss: 844.9883422851562 = 0.9723178744316101 + 100.0 * 8.440160751342773
Epoch 650, val loss: 0.9785025119781494
Epoch 660, training loss: 844.8128662109375 = 0.9699819684028625 + 100.0 * 8.43842887878418
Epoch 660, val loss: 0.9763461351394653
Epoch 670, training loss: 844.8763427734375 = 0.9675281643867493 + 100.0 * 8.439087867736816
Epoch 670, val loss: 0.9740782976150513
Epoch 680, training loss: 844.5715942382812 = 0.9649983644485474 + 100.0 * 8.436065673828125
Epoch 680, val loss: 0.9717128276824951
Epoch 690, training loss: 844.320556640625 = 0.9625231623649597 + 100.0 * 8.43358039855957
Epoch 690, val loss: 0.9694317579269409
Epoch 700, training loss: 844.1251220703125 = 0.9600726366043091 + 100.0 * 8.431650161743164
Epoch 700, val loss: 0.9671434760093689
Epoch 710, training loss: 844.3768310546875 = 0.9575960040092468 + 100.0 * 8.434192657470703
Epoch 710, val loss: 0.9647670388221741
Epoch 720, training loss: 843.8832397460938 = 0.9548203349113464 + 100.0 * 8.42928409576416
Epoch 720, val loss: 0.9622480869293213
Epoch 730, training loss: 843.653564453125 = 0.9521436095237732 + 100.0 * 8.427014350891113
Epoch 730, val loss: 0.9597806930541992
Epoch 740, training loss: 843.504638671875 = 0.9495164155960083 + 100.0 * 8.425551414489746
Epoch 740, val loss: 0.9573478102684021
Epoch 750, training loss: 843.8380737304688 = 0.9467936754226685 + 100.0 * 8.428913116455078
Epoch 750, val loss: 0.954878032207489
Epoch 760, training loss: 843.3630981445312 = 0.9439607858657837 + 100.0 * 8.42419147491455
Epoch 760, val loss: 0.9521293044090271
Epoch 770, training loss: 843.1182250976562 = 0.9411171078681946 + 100.0 * 8.421771049499512
Epoch 770, val loss: 0.9495084285736084
Epoch 780, training loss: 842.9984741210938 = 0.9382742047309875 + 100.0 * 8.420601844787598
Epoch 780, val loss: 0.9469016790390015
Epoch 790, training loss: 842.867919921875 = 0.9354258179664612 + 100.0 * 8.41932487487793
Epoch 790, val loss: 0.9442315697669983
Epoch 800, training loss: 842.7582397460938 = 0.932514488697052 + 100.0 * 8.418257713317871
Epoch 800, val loss: 0.9415386915206909
Epoch 810, training loss: 842.6689453125 = 0.9295561909675598 + 100.0 * 8.417393684387207
Epoch 810, val loss: 0.9387837052345276
Epoch 820, training loss: 842.9346923828125 = 0.926512598991394 + 100.0 * 8.420082092285156
Epoch 820, val loss: 0.9359221458435059
Epoch 830, training loss: 842.544189453125 = 0.9233439564704895 + 100.0 * 8.416208267211914
Epoch 830, val loss: 0.9329508543014526
Epoch 840, training loss: 842.4302368164062 = 0.920201301574707 + 100.0 * 8.41510009765625
Epoch 840, val loss: 0.9300758242607117
Epoch 850, training loss: 842.296630859375 = 0.9171095490455627 + 100.0 * 8.413795471191406
Epoch 850, val loss: 0.9272205829620361
Epoch 860, training loss: 842.3277587890625 = 0.9140476584434509 + 100.0 * 8.41413688659668
Epoch 860, val loss: 0.924318253993988
Epoch 870, training loss: 842.1387939453125 = 0.9107376933097839 + 100.0 * 8.412280082702637
Epoch 870, val loss: 0.9213195443153381
Epoch 880, training loss: 842.1610717773438 = 0.9075042009353638 + 100.0 * 8.412535667419434
Epoch 880, val loss: 0.9182597398757935
Epoch 890, training loss: 841.9783325195312 = 0.9043588042259216 + 100.0 * 8.41073989868164
Epoch 890, val loss: 0.915368914604187
Epoch 900, training loss: 841.885986328125 = 0.9012576341629028 + 100.0 * 8.409847259521484
Epoch 900, val loss: 0.9125277400016785
Epoch 910, training loss: 841.917236328125 = 0.8981735110282898 + 100.0 * 8.41019058227539
Epoch 910, val loss: 0.9096422791481018
Epoch 920, training loss: 841.7847290039062 = 0.894914448261261 + 100.0 * 8.40889835357666
Epoch 920, val loss: 0.9066316485404968
Epoch 930, training loss: 841.6885986328125 = 0.8917044401168823 + 100.0 * 8.407968521118164
Epoch 930, val loss: 0.9036493301391602
Epoch 940, training loss: 841.574462890625 = 0.8885971307754517 + 100.0 * 8.406858444213867
Epoch 940, val loss: 0.9007773995399475
Epoch 950, training loss: 841.4806518554688 = 0.885522186756134 + 100.0 * 8.405951499938965
Epoch 950, val loss: 0.8979456424713135
Epoch 960, training loss: 841.4379272460938 = 0.8824627995491028 + 100.0 * 8.40555477142334
Epoch 960, val loss: 0.8950925469398499
Epoch 970, training loss: 841.396728515625 = 0.8792773485183716 + 100.0 * 8.405174255371094
Epoch 970, val loss: 0.8921216726303101
Epoch 980, training loss: 841.3306884765625 = 0.8760643005371094 + 100.0 * 8.404546737670898
Epoch 980, val loss: 0.88913494348526
Epoch 990, training loss: 841.32958984375 = 0.8729726076126099 + 100.0 * 8.404565811157227
Epoch 990, val loss: 0.886232316493988
Epoch 1000, training loss: 841.1139526367188 = 0.8697298169136047 + 100.0 * 8.40244197845459
Epoch 1000, val loss: 0.8832659125328064
Epoch 1010, training loss: 841.0655517578125 = 0.8665791153907776 + 100.0 * 8.401989936828613
Epoch 1010, val loss: 0.880328893661499
Epoch 1020, training loss: 840.974609375 = 0.863536536693573 + 100.0 * 8.401110649108887
Epoch 1020, val loss: 0.877562403678894
Epoch 1030, training loss: 840.8809204101562 = 0.8605563044548035 + 100.0 * 8.400203704833984
Epoch 1030, val loss: 0.8747791051864624
Epoch 1040, training loss: 840.8604736328125 = 0.8575705885887146 + 100.0 * 8.400029182434082
Epoch 1040, val loss: 0.8720099329948425
Epoch 1050, training loss: 840.7846069335938 = 0.8544458150863647 + 100.0 * 8.399301528930664
Epoch 1050, val loss: 0.8690778017044067
Epoch 1060, training loss: 840.68896484375 = 0.851301372051239 + 100.0 * 8.39837646484375
Epoch 1060, val loss: 0.8661881685256958
Epoch 1070, training loss: 840.6148681640625 = 0.8482643365859985 + 100.0 * 8.397665977478027
Epoch 1070, val loss: 0.863402783870697
Epoch 1080, training loss: 840.5654296875 = 0.8452807664871216 + 100.0 * 8.397201538085938
Epoch 1080, val loss: 0.8606486916542053
Epoch 1090, training loss: 840.8223876953125 = 0.8421643376350403 + 100.0 * 8.399802207946777
Epoch 1090, val loss: 0.8577395081520081
Epoch 1100, training loss: 840.4231567382812 = 0.8389958739280701 + 100.0 * 8.395841598510742
Epoch 1100, val loss: 0.854776918888092
Epoch 1110, training loss: 840.3399047851562 = 0.8359578251838684 + 100.0 * 8.395039558410645
Epoch 1110, val loss: 0.8519681692123413
Epoch 1120, training loss: 840.4650268554688 = 0.8329041600227356 + 100.0 * 8.396321296691895
Epoch 1120, val loss: 0.84916090965271
Epoch 1130, training loss: 840.2512817382812 = 0.8298524022102356 + 100.0 * 8.394214630126953
Epoch 1130, val loss: 0.8462628722190857
Epoch 1140, training loss: 840.1275024414062 = 0.8268418908119202 + 100.0 * 8.393006324768066
Epoch 1140, val loss: 0.8434998989105225
Epoch 1150, training loss: 840.0703125 = 0.8238553404808044 + 100.0 * 8.392464637756348
Epoch 1150, val loss: 0.840715765953064
Epoch 1160, training loss: 840.1384887695312 = 0.8208608627319336 + 100.0 * 8.393176078796387
Epoch 1160, val loss: 0.8378919363021851
Epoch 1170, training loss: 840.0493774414062 = 0.8176579475402832 + 100.0 * 8.392316818237305
Epoch 1170, val loss: 0.8349093794822693
Epoch 1180, training loss: 839.9559936523438 = 0.8144708871841431 + 100.0 * 8.3914155960083
Epoch 1180, val loss: 0.8319604396820068
Epoch 1190, training loss: 839.8168334960938 = 0.8114357590675354 + 100.0 * 8.390053749084473
Epoch 1190, val loss: 0.8291400074958801
Epoch 1200, training loss: 839.8696899414062 = 0.8084193468093872 + 100.0 * 8.390612602233887
Epoch 1200, val loss: 0.8263548612594604
Epoch 1210, training loss: 839.76953125 = 0.8051947951316833 + 100.0 * 8.389643669128418
Epoch 1210, val loss: 0.8232583403587341
Epoch 1220, training loss: 839.6741943359375 = 0.80196613073349 + 100.0 * 8.38872241973877
Epoch 1220, val loss: 0.8202801942825317
Epoch 1230, training loss: 839.6244506835938 = 0.7989206910133362 + 100.0 * 8.38825511932373
Epoch 1230, val loss: 0.8174096941947937
Epoch 1240, training loss: 839.5403442382812 = 0.7959276437759399 + 100.0 * 8.387444496154785
Epoch 1240, val loss: 0.8146129250526428
Epoch 1250, training loss: 839.4904174804688 = 0.7929360866546631 + 100.0 * 8.386975288391113
Epoch 1250, val loss: 0.8118082284927368
Epoch 1260, training loss: 839.9662475585938 = 0.78986656665802 + 100.0 * 8.391763687133789
Epoch 1260, val loss: 0.8089113235473633
Epoch 1270, training loss: 839.5018920898438 = 0.7865902185440063 + 100.0 * 8.387153625488281
Epoch 1270, val loss: 0.8058098554611206
Epoch 1280, training loss: 839.3805541992188 = 0.7834543585777283 + 100.0 * 8.385971069335938
Epoch 1280, val loss: 0.8028917908668518
Epoch 1290, training loss: 839.3175048828125 = 0.7804061770439148 + 100.0 * 8.385371208190918
Epoch 1290, val loss: 0.8000196814537048
Epoch 1300, training loss: 839.3038940429688 = 0.777367889881134 + 100.0 * 8.385265350341797
Epoch 1300, val loss: 0.7971558570861816
Epoch 1310, training loss: 839.2059326171875 = 0.7743058204650879 + 100.0 * 8.384316444396973
Epoch 1310, val loss: 0.7942562103271484
Epoch 1320, training loss: 839.1312255859375 = 0.7712896466255188 + 100.0 * 8.383599281311035
Epoch 1320, val loss: 0.791378915309906
Epoch 1330, training loss: 839.4638061523438 = 0.7681811451911926 + 100.0 * 8.386956214904785
Epoch 1330, val loss: 0.7884116768836975
Epoch 1340, training loss: 839.01416015625 = 0.7649536728858948 + 100.0 * 8.382492065429688
Epoch 1340, val loss: 0.7853649258613586
Epoch 1350, training loss: 839.0054931640625 = 0.7618945837020874 + 100.0 * 8.38243579864502
Epoch 1350, val loss: 0.7824869155883789
Epoch 1360, training loss: 838.9055786132812 = 0.7589195370674133 + 100.0 * 8.38146686553955
Epoch 1360, val loss: 0.7796893119812012
Epoch 1370, training loss: 838.9525146484375 = 0.7559836506843567 + 100.0 * 8.381965637207031
Epoch 1370, val loss: 0.7768591642379761
Epoch 1380, training loss: 838.9017944335938 = 0.7527220845222473 + 100.0 * 8.381490707397461
Epoch 1380, val loss: 0.773748517036438
Epoch 1390, training loss: 838.9642333984375 = 0.749427855014801 + 100.0 * 8.382147789001465
Epoch 1390, val loss: 0.7706241011619568
Epoch 1400, training loss: 838.7177734375 = 0.7463818788528442 + 100.0 * 8.379714012145996
Epoch 1400, val loss: 0.7677990794181824
Epoch 1410, training loss: 838.6878662109375 = 0.74346524477005 + 100.0 * 8.379444122314453
Epoch 1410, val loss: 0.7650488615036011
Epoch 1420, training loss: 838.6257934570312 = 0.7405994534492493 + 100.0 * 8.378851890563965
Epoch 1420, val loss: 0.7623128890991211
Epoch 1430, training loss: 838.9744873046875 = 0.7376648187637329 + 100.0 * 8.382368087768555
Epoch 1430, val loss: 0.7595361471176147
Epoch 1440, training loss: 838.7160034179688 = 0.7345238924026489 + 100.0 * 8.379815101623535
Epoch 1440, val loss: 0.756514847278595
Epoch 1450, training loss: 838.5277099609375 = 0.7314987182617188 + 100.0 * 8.377962112426758
Epoch 1450, val loss: 0.7536487579345703
Epoch 1460, training loss: 838.4486083984375 = 0.7285966277122498 + 100.0 * 8.37720012664795
Epoch 1460, val loss: 0.7509018778800964
Epoch 1470, training loss: 838.4518432617188 = 0.7257267832756042 + 100.0 * 8.3772611618042
Epoch 1470, val loss: 0.7481614351272583
Epoch 1480, training loss: 838.5090942382812 = 0.7227641940116882 + 100.0 * 8.377862930297852
Epoch 1480, val loss: 0.7453221678733826
Epoch 1490, training loss: 838.3433837890625 = 0.7197760343551636 + 100.0 * 8.376235961914062
Epoch 1490, val loss: 0.7425099611282349
Epoch 1500, training loss: 838.274169921875 = 0.7169125080108643 + 100.0 * 8.375572204589844
Epoch 1500, val loss: 0.7397671341896057
Epoch 1510, training loss: 838.2191162109375 = 0.7140640616416931 + 100.0 * 8.37505054473877
Epoch 1510, val loss: 0.7370669841766357
Epoch 1520, training loss: 838.2710571289062 = 0.7112310528755188 + 100.0 * 8.375597953796387
Epoch 1520, val loss: 0.7343446016311646
Epoch 1530, training loss: 838.3863525390625 = 0.7081769108772278 + 100.0 * 8.376781463623047
Epoch 1530, val loss: 0.7314024567604065
Epoch 1540, training loss: 838.15625 = 0.7050732970237732 + 100.0 * 8.37451171875
Epoch 1540, val loss: 0.7284680008888245
Epoch 1550, training loss: 838.1124877929688 = 0.7022188901901245 + 100.0 * 8.374102592468262
Epoch 1550, val loss: 0.7258053421974182
Epoch 1560, training loss: 838.0225830078125 = 0.6994588375091553 + 100.0 * 8.373230934143066
Epoch 1560, val loss: 0.72318434715271
Epoch 1570, training loss: 837.9874267578125 = 0.6967505216598511 + 100.0 * 8.372906684875488
Epoch 1570, val loss: 0.7205802202224731
Epoch 1580, training loss: 838.2662963867188 = 0.6940227150917053 + 100.0 * 8.375722885131836
Epoch 1580, val loss: 0.7179543375968933
Epoch 1590, training loss: 838.1526489257812 = 0.6909876465797424 + 100.0 * 8.374616622924805
Epoch 1590, val loss: 0.7151234745979309
Epoch 1600, training loss: 837.8958740234375 = 0.6881116628646851 + 100.0 * 8.372077941894531
Epoch 1600, val loss: 0.7123711109161377
Epoch 1610, training loss: 837.8602905273438 = 0.6853995323181152 + 100.0 * 8.371748924255371
Epoch 1610, val loss: 0.7098068594932556
Epoch 1620, training loss: 837.8031616210938 = 0.6827301383018494 + 100.0 * 8.371204376220703
Epoch 1620, val loss: 0.7072811126708984
Epoch 1630, training loss: 837.8981323242188 = 0.6800769567489624 + 100.0 * 8.372180938720703
Epoch 1630, val loss: 0.7047766447067261
Epoch 1640, training loss: 837.7762451171875 = 0.6772549748420715 + 100.0 * 8.370989799499512
Epoch 1640, val loss: 0.7020406126976013
Epoch 1650, training loss: 838.0452880859375 = 0.674429178237915 + 100.0 * 8.373708724975586
Epoch 1650, val loss: 0.6993539929389954
Epoch 1660, training loss: 837.73681640625 = 0.6715970635414124 + 100.0 * 8.370652198791504
Epoch 1660, val loss: 0.6967006325721741
Epoch 1670, training loss: 837.6240844726562 = 0.668959379196167 + 100.0 * 8.369551658630371
Epoch 1670, val loss: 0.694190502166748
Epoch 1680, training loss: 837.617431640625 = 0.6664149165153503 + 100.0 * 8.36950969696045
Epoch 1680, val loss: 0.6917850375175476
Epoch 1690, training loss: 837.5584716796875 = 0.6639049649238586 + 100.0 * 8.368946075439453
Epoch 1690, val loss: 0.6894137859344482
Epoch 1700, training loss: 837.5433959960938 = 0.6614001393318176 + 100.0 * 8.368820190429688
Epoch 1700, val loss: 0.6870492696762085
Epoch 1710, training loss: 837.7899169921875 = 0.6588571071624756 + 100.0 * 8.371310234069824
Epoch 1710, val loss: 0.6846446990966797
Epoch 1720, training loss: 837.4552001953125 = 0.6561184525489807 + 100.0 * 8.367990493774414
Epoch 1720, val loss: 0.6820256114006042
Epoch 1730, training loss: 837.4318237304688 = 0.6535366773605347 + 100.0 * 8.367782592773438
Epoch 1730, val loss: 0.6795865893363953
Epoch 1740, training loss: 837.4199829101562 = 0.6510615348815918 + 100.0 * 8.36768913269043
Epoch 1740, val loss: 0.6772641539573669
Epoch 1750, training loss: 837.5277099609375 = 0.6486180424690247 + 100.0 * 8.368790626525879
Epoch 1750, val loss: 0.674946665763855
Epoch 1760, training loss: 837.3860473632812 = 0.6460770964622498 + 100.0 * 8.367400169372559
Epoch 1760, val loss: 0.6725427508354187
Epoch 1770, training loss: 837.423095703125 = 0.643609881401062 + 100.0 * 8.36779499053955
Epoch 1770, val loss: 0.6701703667640686
Epoch 1780, training loss: 837.3690185546875 = 0.6410883069038391 + 100.0 * 8.367279052734375
Epoch 1780, val loss: 0.6678059101104736
Epoch 1790, training loss: 837.2841796875 = 0.6386502981185913 + 100.0 * 8.366455078125
Epoch 1790, val loss: 0.665550172328949
Epoch 1800, training loss: 837.2105102539062 = 0.6363251209259033 + 100.0 * 8.365741729736328
Epoch 1800, val loss: 0.6633337140083313
Epoch 1810, training loss: 837.1748046875 = 0.6340238451957703 + 100.0 * 8.365407943725586
Epoch 1810, val loss: 0.6611813306808472
Epoch 1820, training loss: 837.314208984375 = 0.631727933883667 + 100.0 * 8.366825103759766
Epoch 1820, val loss: 0.6590356230735779
