nohup: ignoring input
Namespace(config='config.yaml', cuda=True, dataset='Pubmed', debug=True, defense_mode='prune', device_id=0, dis_weight=1, dropout=0.5, epochs=200, evaluate_mode='1by1', gpu_id=0, hidden=128, homo_boost_thrd=0.5, homo_loss_weight=0, inner=1, lr=0.01, model='GCN', no_cuda=False, proj_hidden=128, prune_thr=0.2, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, temperature=0.5, test_model='GCN', thrd=0.5, train_lr=0.01, trigger_size=3, trojan_epochs=400, use_vs_number=True, vs_number=40, vs_ratio=0, weight_decay=0.0005)
raw graph: torch.Size([2, 88648])
add edge: torch.Size([2, 115198])
remove edge: torch.Size([2, 62260])
updated graph: torch.Size([2, 88810])
#Attach Nodes:80
./selected_nodes/Pubmed/Overall/seed265/nodes.txt
precent of left attach nodes: 1.000
=== training gcn model ===
Epoch 0, training loss: 27.002426147460938 = 1.1051559448242188 + 2.5 * 10.358907699584961
Epoch 0, val loss: 1.104956030845642
Epoch 10, training loss: 26.990236282348633 = 1.0960990190505981 + 2.5 * 10.357654571533203
Epoch 10, val loss: 1.0953179597854614
Epoch 20, training loss: 26.949474334716797 = 1.0835069417953491 + 2.5 * 10.346386909484863
Epoch 20, val loss: 1.0818403959274292
Epoch 30, training loss: 26.672494888305664 = 1.0673191547393799 + 2.5 * 10.242070198059082
Epoch 30, val loss: 1.0651053190231323
Epoch 40, training loss: 25.18017578125 = 1.0505069494247437 + 2.5 * 9.651867866516113
Epoch 40, val loss: 1.0476785898208618
Epoch 50, training loss: 24.746553421020508 = 1.0347105264663696 + 2.5 * 9.484737396240234
Epoch 50, val loss: 1.03214693069458
Epoch 60, training loss: 24.571104049682617 = 1.0198273658752441 + 2.5 * 9.420511245727539
Epoch 60, val loss: 1.017650842666626
Epoch 70, training loss: 24.517786026000977 = 1.0050969123840332 + 2.5 * 9.405076026916504
Epoch 70, val loss: 1.0031278133392334
Epoch 80, training loss: 24.433330535888672 = 0.9916120767593384 + 2.5 * 9.376688003540039
Epoch 80, val loss: 0.9902103543281555
Epoch 90, training loss: 24.256999969482422 = 0.9790408611297607 + 2.5 * 9.31118392944336
Epoch 90, val loss: 0.97800612449646
Epoch 100, training loss: 24.27191734313965 = 0.9671209454536438 + 2.5 * 9.321918487548828
Epoch 100, val loss: 0.9663879871368408
Epoch 110, training loss: 24.09342384338379 = 0.9540246725082397 + 2.5 * 9.255759239196777
Epoch 110, val loss: 0.9535897374153137
Epoch 120, training loss: 24.049474716186523 = 0.9389874339103699 + 2.5 * 9.244194984436035
Epoch 120, val loss: 0.939182460308075
Epoch 130, training loss: 24.0794677734375 = 0.9213094711303711 + 2.5 * 9.263262748718262
Epoch 130, val loss: 0.9221526384353638
Epoch 140, training loss: 24.00984001159668 = 0.9003247022628784 + 2.5 * 9.243806838989258
Epoch 140, val loss: 0.902338445186615
Epoch 150, training loss: 23.959266662597656 = 0.877177894115448 + 2.5 * 9.23283576965332
Epoch 150, val loss: 0.8802069425582886
Epoch 160, training loss: 23.915847778320312 = 0.851788341999054 + 2.5 * 9.225624084472656
Epoch 160, val loss: 0.8563039898872375
Epoch 170, training loss: 23.85623550415039 = 0.8238340020179749 + 2.5 * 9.212961196899414
Epoch 170, val loss: 0.8297739624977112
Epoch 180, training loss: 23.823278427124023 = 0.7936030030250549 + 2.5 * 9.211870193481445
Epoch 180, val loss: 0.8012415170669556
Epoch 190, training loss: 23.808265686035156 = 0.7614191174507141 + 2.5 * 9.218738555908203
Epoch 190, val loss: 0.7709771394729614
Epoch 200, training loss: 23.73828125 = 0.7273595929145813 + 2.5 * 9.204368591308594
Epoch 200, val loss: 0.7386564016342163
Epoch 210, training loss: 23.67906951904297 = 0.6922156810760498 + 2.5 * 9.194742202758789
Epoch 210, val loss: 0.7057628035545349
Epoch 220, training loss: 23.66140365600586 = 0.656807541847229 + 2.5 * 9.201838493347168
Epoch 220, val loss: 0.6729341745376587
Epoch 230, training loss: 23.64356803894043 = 0.6223641037940979 + 2.5 * 9.208481788635254
