nohup: ignoring input
Namespace(config='config.yaml', cuda=True, dataset='Pubmed', debug=True, defense_mode='prune', device_id=0, dis_weight=1, dropout=0.5, epochs=200, evaluate_mode='1by1', gpu_id=0, hidden=128, homo_boost_thrd=0.5, homo_loss_weight=0, inner=1, lr=0.01, model='GCN', no_cuda=False, proj_hidden=128, prune_thr=0.2, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, temperature=0.5, test_model='GCN', thrd=0.5, train_lr=0.01, trigger_size=3, trojan_epochs=400, use_vs_number=True, vs_number=40, vs_ratio=0, weight_decay=0.0005)
raw graph: torch.Size([2, 88648])
add edge: torch.Size([2, 115198])
remove edge: torch.Size([2, 62260])
updated graph: torch.Size([2, 88810])
#Attach Nodes:80
./selected_nodes/Pubmed/Overall/seed265/nodes.txt
precent of left attach nodes: 1.000
=== training gcn model ===
Epoch 0, training loss: 27.0025634765625 = 1.105156421661377 + 2.5 * 10.358963012695312
Epoch 0, val loss: 1.1028974056243896
Epoch 10, training loss: 26.818517684936523 = 1.0676904916763306 + 2.5 * 10.300331115722656
Epoch 10, val loss: 1.062506914138794
Epoch 20, training loss: 25.165817260742188 = 1.026414155960083 + 2.5 * 9.655760765075684
Epoch 20, val loss: 1.0200766324996948
Epoch 30, training loss: 24.539241790771484 = 0.9700003266334534 + 2.5 * 9.427696228027344
Epoch 30, val loss: 0.9633303284645081
Epoch 40, training loss: 24.431659698486328 = 0.8910279273986816 + 2.5 * 9.416253089904785
Epoch 40, val loss: 0.885136067867279
Epoch 50, training loss: 24.221172332763672 = 0.7923099398612976 + 2.5 * 9.37154483795166
Epoch 50, val loss: 0.7915804982185364
Epoch 60, training loss: 23.983671188354492 = 0.6888794898986816 + 2.5 * 9.317916870117188
Epoch 60, val loss: 0.6945345997810364
Epoch 70, training loss: 23.81452178955078 = 0.5837104320526123 + 2.5 * 9.292325019836426
Epoch 70, val loss: 0.5982099175453186
Epoch 80, training loss: 23.675708770751953 = 0.49419867992401123 + 2.5 * 9.272603988647461
Epoch 80, val loss: 0.5204784274101257
Epoch 90, training loss: 23.582393646240234 = 0.4338277578353882 + 2.5 * 9.25942611694336
Epoch 90, val loss: 0.46984943747520447
Epoch 100, training loss: 23.528579711914062 = 0.3944653272628784 + 2.5 * 9.253645896911621
Epoch 100, val loss: 0.44131049513816833
Epoch 110, training loss: 23.471420288085938 = 0.3702218532562256 + 2.5 * 9.240479469299316
Epoch 110, val loss: 0.4270208179950714
Epoch 120, training loss: 23.411230087280273 = 0.35287994146347046 + 2.5 * 9.223340034484863
Epoch 120, val loss: 0.4148181676864624
Epoch 130, training loss: 23.455419540405273 = 0.33929261565208435 + 2.5 * 9.246450424194336
Epoch 130, val loss: 0.409614235162735
Epoch 140, training loss: 23.352519989013672 = 0.32808226346969604 + 2.5 * 9.2097749710083
Epoch 140, val loss: 0.4012105166912079
Epoch 150, training loss: 23.291196823120117 = 0.3203505575656891 + 2.5 * 9.188338279724121
Epoch 150, val loss: 0.4016714096069336
Epoch 160, training loss: 23.298181533813477 = 0.3097486197948456 + 2.5 * 9.19537353515625
Epoch 160, val loss: 0.39266237616539
Epoch 170, training loss: 23.375839233398438 = 0.30115652084350586 + 2.5 * 9.229872703552246
Epoch 170, val loss: 0.39031782746315
Epoch 180, training loss: 23.28201675415039 = 0.2946031093597412 + 2.5 * 9.194965362548828
Epoch 180, val loss: 0.38873958587646484
Epoch 190, training loss: 23.24126434326172 = 0.28967756032943726 + 2.5 * 9.180635452270508
Epoch 190, val loss: 0.3906932473182678
Epoch 200, training loss: 23.23470115661621 = 0.2829338014125824 + 2.5 * 9.180706977844238
Epoch 200, val loss: 0.39264699816703796
Epoch 210, training loss: 23.21824073791504 = 0.2784615755081177 + 2.5 * 9.175911903381348
Epoch 210, val loss: 0.391205757856369
Epoch 220, training loss: 23.20479393005371 = 0.2720690965652466 + 2.5 * 9.173089981079102
Epoch 220, val loss: 0.3867327570915222
Epoch 230, training loss: 23.191747665405273 = 0.267191618680954 + 2.5 * 9.169822692871094
