Begin epxeriment: cont_weight: 0.01 epoch:1000 der1:0.3 der2:0 dfr1:0 dfr2:0.4
./run_pre_bkd.py:18: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Namespace(add_edge_rate_1=0.0, add_edge_rate_2=0.0, cl_activation='relu', cl_base_model='GCNConv', cl_lr=0.0002, cl_num_epochs=1000, cl_num_hidden=128, cl_num_layers=2, cl_num_proj_hidden=128, cl_weight_decay=1e-05, config='config.yaml', cont_batch_size=0, cont_weight=0.01, cuda=True, dataset='Cora', debug=True, defense_mode='none', device_id=2, dis_weight=1, drop_edge_rate_1=0.3, drop_edge_rate_2=0.0, drop_feat_rate_1=0.0, drop_feat_rate_2=0.4, dropout=0.5, epochs=200, evaluate_mode='1by1', gpu_id=0, hidden=128, homo_boost_thrd=0.5, homo_loss_weight=0.0, inner=1, lr=0.01, model='GCN', no_cuda=False, proj_hidden=128, prune_thr=0.2, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, tau=0.4, temperature=0.5, test_model='GCN', thrd=0.5, train_lr=0.01, trigger_size=3, trojan_epochs=200, use_vs_number=True, vs_number=5, vs_ratio=0, weight_decay=0.0005)
#Attach Nodes:5
./selected_nodes/Cora/Overall/seed265/nodes.txt
precent of left attach nodes: 1.000
/home/mfl5681/project-contrastive/RobustCL/model.py:226: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.labels = torch.tensor(labels, dtype=torch.long)
=== training gcn model ===
Epoch 0, training loss: 2.044008493423462 = 1.9602701663970947 + 0.01 * 8.373827934265137
Epoch 0, val loss: 1.9631544351577759
Epoch 10, training loss: 2.0335817337036133 = 1.9498443603515625 + 0.01 * 8.373740196228027
Epoch 10, val loss: 1.9529502391815186
Epoch 20, training loss: 2.0202300548553467 = 1.9364961385726929 + 0.01 * 8.373397827148438
Epoch 20, val loss: 1.9399183988571167
Epoch 30, training loss: 2.0005033016204834 = 1.9167799949645996 + 0.01 * 8.372328758239746
Epoch 30, val loss: 1.920699954032898
Epoch 40, training loss: 1.9702775478363037 = 1.8866161108016968 + 0.01 * 8.366138458251953
Epoch 40, val loss: 1.8917890787124634
Epoch 50, training loss: 1.9270344972610474 = 1.8438068628311157 + 0.01 * 8.32276725769043
Epoch 50, val loss: 1.852787971496582
Epoch 60, training loss: 1.877203345298767 = 1.7960481643676758 + 0.01 * 8.115513801574707
Epoch 60, val loss: 1.813570261001587
Epoch 70, training loss: 1.8324906826019287 = 1.7539926767349243 + 0.01 * 7.8498029708862305
Epoch 70, val loss: 1.7793025970458984
Epoch 80, training loss: 1.7773332595825195 = 1.701606035232544 + 0.01 * 7.572717189788818
Epoch 80, val loss: 1.7309733629226685
Epoch 90, training loss: 1.7036395072937012 = 1.6303719282150269 + 0.01 * 7.326755523681641
Epoch 90, val loss: 1.6685336828231812
Epoch 100, training loss: 1.6094108819961548 = 1.5382294654846191 + 0.01 * 7.1181464195251465
Epoch 100, val loss: 1.5921069383621216
Epoch 110, training loss: 1.5053712129592896 = 1.4349980354309082 + 0.01 * 7.037322044372559
Epoch 110, val loss: 1.50760018825531
Epoch 120, training loss: 1.4002833366394043 = 1.3307868242263794 + 0.01 * 6.949655532836914
Epoch 120, val loss: 1.4244251251220703
Epoch 130, training loss: 1.2994545698165894 = 1.2305867671966553 + 0.01 * 6.886783599853516
Epoch 130, val loss: 1.3461103439331055
Epoch 140, training loss: 1.205031156539917 = 1.1366474628448486 + 0.01 * 6.838374614715576
Epoch 140, val loss: 1.2736483812332153
Epoch 150, training loss: 1.1199724674224854 = 1.0519436597824097 + 0.01 * 6.802883625030518
Epoch 150, val loss: 1.209678053855896
Epoch 160, training loss: 1.045708417892456 = 0.9778836965560913 + 0.01 * 6.782466411590576
Epoch 160, val loss: 1.1555614471435547
Epoch 170, training loss: 0.9798609018325806 = 0.9121517539024353 + 0.01 * 6.770912170410156
Epoch 170, val loss: 1.1089489459991455
Epoch 180, training loss: 0.917836606502533 = 0.8502086400985718 + 0.01 * 6.762794494628906
Epoch 180, val loss: 1.0659832954406738
Epoch 190, training loss: 0.8557199239730835 = 0.7881339192390442 + 0.01 * 6.758599758148193
Epoch 190, val loss: 1.0229105949401855
Epoch 200, training loss: 0.7921508550643921 = 0.7245938777923584 + 0.01 * 6.7556986808776855
Epoch 200, val loss: 0.9786544442176819
Epoch 210, training loss: 0.7282344102859497 = 0.6607015132904053 + 0.01 * 6.753286838531494
Epoch 210, val loss: 0.9338851571083069
Epoch 220, training loss: 0.6663585901260376 = 0.5988471508026123 + 0.01 * 6.75114107131958
Epoch 220, val loss: 0.891250729560852
Epoch 230, training loss: 0.6089082360267639 = 0.5414189100265503 + 0.01 * 6.748934745788574
Epoch 230, val loss: 0.8539453148841858
Epoch 240, training loss: 0.5570856928825378 = 0.4896237552165985 + 0.01 * 6.746196269989014
Epoch 240, val loss: 0.8236125707626343
Epoch 250, training loss: 0.5103870034217834 = 0.4429510533809662 + 0.01 * 6.743594169616699
Epoch 250, val loss: 0.7996550798416138
Epoch 260, training loss: 0.46741968393325806 = 0.4000222682952881 + 0.01 * 6.739740371704102
Epoch 260, val loss: 0.7802026867866516
Epoch 270, training loss: 0.4271247386932373 = 0.35977116227149963 + 0.01 * 6.735356330871582
Epoch 270, val loss: 0.7640320062637329
Epoch 280, training loss: 0.3890186548233032 = 0.3216875195503235 + 0.01 * 6.733115196228027
Epoch 280, val loss: 0.7507113218307495
Epoch 290, training loss: 0.35291019082069397 = 0.2856259047985077 + 0.01 * 6.728428840637207
Epoch 290, val loss: 0.7399124503135681
Epoch 300, training loss: 0.31881728768348694 = 0.25156477093696594 + 0.01 * 6.725252628326416
Epoch 300, val loss: 0.7313825488090515
Epoch 310, training loss: 0.286887526512146 = 0.21967031061649323 + 0.01 * 6.721723556518555
Epoch 310, val loss: 0.7250651717185974
Epoch 320, training loss: 0.25758516788482666 = 0.1903647780418396 + 0.01 * 6.722040176391602
Epoch 320, val loss: 0.7215332984924316
Epoch 330, training loss: 0.23124003410339355 = 0.16408027708530426 + 0.01 * 6.715976715087891
Epoch 330, val loss: 0.7212688326835632
Epoch 340, training loss: 0.20823127031326294 = 0.1410931795835495 + 0.01 * 6.713808536529541
Epoch 340, val loss: 0.7244499921798706
Epoch 350, training loss: 0.18848177790641785 = 0.12138056755065918 + 0.01 * 6.71012020111084
Epoch 350, val loss: 0.7309061884880066
Epoch 360, training loss: 0.1718459129333496 = 0.10469319671392441 + 0.01 * 6.715271472930908
Epoch 360, val loss: 0.7401822209358215
Epoch 370, training loss: 0.15771791338920593 = 0.09065928310155869 + 0.01 * 6.7058634757995605
Epoch 370, val loss: 0.7516686320304871
Epoch 380, training loss: 0.14586059749126434 = 0.07885955274105072 + 0.01 * 6.700104713439941
Epoch 380, val loss: 0.7647074460983276
Epoch 390, training loss: 0.135877788066864 = 0.06891289353370667 + 0.01 * 6.696489334106445
Epoch 390, val loss: 0.778701901435852
Epoch 400, training loss: 0.12741979956626892 = 0.06050032377243042 + 0.01 * 6.691947937011719
Epoch 400, val loss: 0.7932141423225403
