Begin epxeriment: cont_weight: 2 epoch:1000 der1:0.3 der2:0 dfr1:0 dfr2:0.4
./run_pre_bkd.py:18: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Namespace(add_edge_rate_1=0.0, add_edge_rate_2=0.0, cl_activation='relu', cl_base_model='GCNConv', cl_lr=0.0002, cl_num_epochs=1000, cl_num_hidden=128, cl_num_layers=2, cl_num_proj_hidden=128, cl_weight_decay=1e-05, config='config.yaml', cont_batch_size=0, cont_weight=2.0, cuda=True, dataset='Cora', debug=True, defense_mode='none', device_id=2, dis_weight=1, drop_edge_rate_1=0.3, drop_edge_rate_2=0.0, drop_feat_rate_1=0.0, drop_feat_rate_2=0.4, dropout=0.5, epochs=200, evaluate_mode='1by1', gpu_id=0, hidden=128, homo_boost_thrd=0.5, homo_loss_weight=0.0, inner=1, lr=0.01, model='GCN', no_cuda=False, proj_hidden=128, prune_thr=0.2, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, tau=0.4, temperature=0.5, test_model='GCN', thrd=0.5, train_lr=0.01, trigger_size=3, trojan_epochs=200, use_vs_number=True, vs_number=5, vs_ratio=0, weight_decay=0.0005)
#Attach Nodes:5
./selected_nodes/Cora/Overall/seed265/nodes.txt
precent of left attach nodes: 1.000
/home/mfl5681/project-contrastive/RobustCL/model.py:226: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.labels = torch.tensor(labels, dtype=torch.long)
=== training gcn model ===
Epoch 0, training loss: 18.693439483642578 = 1.9457048177719116 + 2.0 * 8.37386703491211
Epoch 0, val loss: 1.9580012559890747
Epoch 10, training loss: 18.6829776763916 = 1.9365607500076294 + 2.0 * 8.373208045959473
Epoch 10, val loss: 1.9487006664276123
Epoch 20, training loss: 18.662967681884766 = 1.925233244895935 + 2.0 * 8.368866920471191
Epoch 20, val loss: 1.9369988441467285
Epoch 30, training loss: 18.581310272216797 = 1.910210132598877 + 2.0 * 8.335550308227539
Epoch 30, val loss: 1.9215553998947144
Epoch 40, training loss: 18.004161834716797 = 1.8923189640045166 + 2.0 * 8.05592155456543
Epoch 40, val loss: 1.9032893180847168
Epoch 50, training loss: 16.181598663330078 = 1.8742992877960205 + 2.0 * 7.15364933013916
Epoch 50, val loss: 1.8855829238891602
Epoch 60, training loss: 15.472198486328125 = 1.8621997833251953 + 2.0 * 6.804999351501465
Epoch 60, val loss: 1.8740075826644897
Epoch 70, training loss: 15.128530502319336 = 1.8519576787948608 + 2.0 * 6.638286590576172
Epoch 70, val loss: 1.8637069463729858
Epoch 80, training loss: 14.923785209655762 = 1.8423558473587036 + 2.0 * 6.540714740753174
Epoch 80, val loss: 1.853519082069397
Epoch 90, training loss: 14.744375228881836 = 1.8328267335891724 + 2.0 * 6.455774307250977
Epoch 90, val loss: 1.8434908390045166
Epoch 100, training loss: 14.59768295288086 = 1.8242740631103516 + 2.0 * 6.386704444885254
Epoch 100, val loss: 1.8344533443450928
Epoch 110, training loss: 14.493301391601562 = 1.8165507316589355 + 2.0 * 6.338375091552734
Epoch 110, val loss: 1.8261969089508057
Epoch 120, training loss: 14.402474403381348 = 1.8091933727264404 + 2.0 * 6.296640396118164
Epoch 120, val loss: 1.8183693885803223
Epoch 130, training loss: 14.32942008972168 = 1.8021563291549683 + 2.0 * 6.263631820678711
Epoch 130, val loss: 1.8109451532363892
Epoch 140, training loss: 14.271583557128906 = 1.7951315641403198 + 2.0 * 6.238225936889648
Epoch 140, val loss: 1.8038678169250488
Epoch 150, training loss: 14.218235969543457 = 1.7877753973007202 + 2.0 * 6.215230464935303
Epoch 150, val loss: 1.7967697381973267
Epoch 160, training loss: 14.173603057861328 = 1.7799073457717896 + 2.0 * 6.196847915649414
Epoch 160, val loss: 1.7894865274429321
Epoch 170, training loss: 14.131988525390625 = 1.7713732719421387 + 2.0 * 6.180307865142822
Epoch 170, val loss: 1.782028317451477
Epoch 180, training loss: 14.094143867492676 = 1.7619686126708984 + 2.0 * 6.166087627410889
Epoch 180, val loss: 1.7741039991378784
Epoch 190, training loss: 14.063896179199219 = 1.7513350248336792 + 2.0 * 6.156280517578125
Epoch 190, val loss: 1.7654014825820923
