Begin epxeriment: cont_weight: 100 epoch:3000 der1:0.3 der2:0 dfr1:0.4 dfr2:0.4
./run_pre_noisy.py:18: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Namespace(add_edge_rate_1=0.0, add_edge_rate_2=0.0, cl_activation='relu', cl_base_model='GCNConv', cl_lr=0.0002, cl_num_epochs=3000, cl_num_hidden=128, cl_num_layers=2, cl_num_proj_hidden=128, cl_weight_decay=1e-05, config='config.yaml', cont_batch_size=0, cont_weight=100.0, cuda=True, dataset='Cora', debug=True, defense_mode='none', device_id=1, dis_weight=1, drop_edge_rate_1=0.3, drop_edge_rate_2=0.0, drop_feat_rate_1=0.4, drop_feat_rate_2=0.4, dropout=0.5, epochs=200, evaluate_mode='1by1', gpu_id=0, hidden=128, homo_boost_thrd=0.5, homo_loss_weight=100.0, inner=1, lr=0.01, model='GCN', no_cuda=False, proj_hidden=128, prune_thr=0.2, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, tau=0.4, temperature=0.5, test_model='GCN', thrd=0.5, train_lr=0.01, trigger_size=3, trojan_epochs=200, use_vs_number=True, vs_number=5, vs_ratio=0, weight_decay=0.0005)
raw graph: torch.Size([2, 10556])
add edge: torch.Size([2, 11564])
remove edge: torch.Size([2, 9496])
updated graph: torch.Size([2, 10504])
=== Noisy graph ===
/home/mfl5681/project-contrastive/RobustCL/model.py:226: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.labels = torch.tensor(labels, dtype=torch.long)
=== training gcn model ===
Epoch 0, training loss: 861.6372680664062 = 1.9572006464004517 + 100.0 * 8.596800804138184
Epoch 0, val loss: 1.9591553211212158
Epoch 10, training loss: 861.5016479492188 = 1.9476288557052612 + 100.0 * 8.595540046691895
Epoch 10, val loss: 1.9495933055877686
Epoch 20, training loss: 860.4835205078125 = 1.9356648921966553 + 100.0 * 8.585478782653809
Epoch 20, val loss: 1.9371650218963623
Epoch 30, training loss: 853.9450073242188 = 1.9198594093322754 + 100.0 * 8.520251274108887
Epoch 30, val loss: 1.920318365097046
Epoch 40, training loss: 819.77001953125 = 1.902475118637085 + 100.0 * 8.178675651550293
Epoch 40, val loss: 1.902486801147461
Epoch 50, training loss: 763.0802001953125 = 1.8849689960479736 + 100.0 * 7.611952781677246
Epoch 50, val loss: 1.8863056898117065
Epoch 60, training loss: 733.0866088867188 = 1.8722821474075317 + 100.0 * 7.312143325805664
Epoch 60, val loss: 1.8750478029251099
Epoch 70, training loss: 710.1923217773438 = 1.8613357543945312 + 100.0 * 7.083309650421143
Epoch 70, val loss: 1.8648426532745361
Epoch 80, training loss: 692.7548828125 = 1.8505431413650513 + 100.0 * 6.909043788909912
Epoch 80, val loss: 1.8546876907348633
Epoch 90, training loss: 681.5642700195312 = 1.84027898311615 + 100.0 * 6.797239780426025
Epoch 90, val loss: 1.8451508283615112
Epoch 100, training loss: 673.50830078125 = 1.831096887588501 + 100.0 * 6.716771602630615
Epoch 100, val loss: 1.8368761539459229
Epoch 110, training loss: 667.5076904296875 = 1.8231420516967773 + 100.0 * 6.656845569610596
Epoch 110, val loss: 1.8293561935424805
Epoch 120, training loss: 663.1364135742188 = 1.8157739639282227 + 100.0 * 6.613205909729004
Epoch 120, val loss: 1.8222222328186035
