Begin epxeriment: cont_weight: 1 epoch:1000 der1:0.3 der2:0 dfr1:0.4 dfr2:0.4
./run_pre_noisy.py:18: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Namespace(add_edge_rate_1=0.0, add_edge_rate_2=0.0, cl_activation='relu', cl_base_model='GCNConv', cl_lr=0.0001, cl_num_epochs=1000, cl_num_hidden=128, cl_num_layers=2, cl_num_proj_hidden=128, cl_weight_decay=1e-05, config='config.yaml', cont_batch_size=0, cont_weight=1.0, cuda=True, dataset='Cora', debug=True, defense_mode='none', device_id=1, dis_weight=1, drop_edge_rate_1=0.3, drop_edge_rate_2=0.0, drop_feat_rate_1=0.4, drop_feat_rate_2=0.4, dropout=0.5, epochs=200, evaluate_mode='1by1', gpu_id=0, hidden=128, homo_boost_thrd=0.5, homo_loss_weight=100.0, inner=1, lr=0.01, model='GCN', no_cuda=False, proj_hidden=128, prune_thr=0.2, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, tau=0.4, temperature=0.5, test_model='GCN', thrd=0.5, train_lr=0.01, trigger_size=3, trojan_epochs=200, use_vs_number=True, vs_number=5, vs_ratio=0, weight_decay=0.0005)
raw graph: torch.Size([2, 10556])
add edge: torch.Size([2, 11604])
remove edge: torch.Size([2, 9528])
updated graph: torch.Size([2, 10576])
=== Noisy graph ===
/home/mfl5681/project-contrastive/RobustCL/model.py:224: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.labels = torch.tensor(labels, dtype=torch.long)
=== training gcn model ===
Epoch 0, training loss: 10.532079696655273 = 1.9352258443832397 + 1.0 * 8.596854209899902
Epoch 0, val loss: 1.9312628507614136
Epoch 10, training loss: 10.527202606201172 = 1.930410623550415 + 1.0 * 8.596792221069336
Epoch 10, val loss: 1.9265204668045044
Epoch 20, training loss: 10.521871566772461 = 1.9252855777740479 + 1.0 * 8.596586227416992
Epoch 20, val loss: 1.9212359189987183
Epoch 30, training loss: 10.515021324157715 = 1.9192713499069214 + 1.0 * 8.595749855041504
Epoch 30, val loss: 1.9148060083389282
Epoch 40, training loss: 10.503798484802246 = 1.9118465185165405 + 1.0 * 8.591952323913574
Epoch 40, val loss: 1.90658700466156
Epoch 50, training loss: 10.478833198547363 = 1.9024678468704224 + 1.0 * 8.57636547088623
Epoch 50, val loss: 1.895951747894287
Epoch 60, training loss: 10.413044929504395 = 1.8910897970199585 + 1.0 * 8.521955490112305
Epoch 60, val loss: 1.8831143379211426
Epoch 70, training loss: 10.223763465881348 = 1.8786122798919678 + 1.0 * 8.3451509475708
Epoch 70, val loss: 1.8695627450942993
Epoch 80, training loss: 9.950860023498535 = 1.8657206296920776 + 1.0 * 8.085139274597168
Epoch 80, val loss: 1.8562275171279907
Epoch 90, training loss: 9.836105346679688 = 1.8547520637512207 + 1.0 * 7.981353759765625
Epoch 90, val loss: 1.8457632064819336
Epoch 100, training loss: 9.586682319641113 = 1.8457401990890503 + 1.0 * 7.740942478179932
Epoch 100, val loss: 1.8376888036727905
Epoch 110, training loss: 9.216660499572754 = 1.8391350507736206 + 1.0 * 7.377525806427002
Epoch 110, val loss: 1.8319180011749268
Epoch 120, training loss: 8.906200408935547 = 1.8336621522903442 + 1.0 * 7.072537899017334
Epoch 120, val loss: 1.8270728588104248
Epoch 130, training loss: 8.738080024719238 = 1.828631043434143 + 1.0 * 6.909448623657227
Epoch 130, val loss: 1.8224903345108032
Epoch 140, training loss: 8.648416519165039 = 1.8224889039993286 + 1.0 * 6.825927734375
Epoch 140, val loss: 1.816483497619629
Epoch 150, training loss: 8.574468612670898 = 1.815327525138855 + 1.0 * 6.759140968322754
Epoch 150, val loss: 1.8096815347671509
Epoch 160, training loss: 8.516222953796387 = 1.8081574440002441 + 1.0 * 6.708065509796143
Epoch 160, val loss: 1.802817940711975
Epoch 170, training loss: 8.465621948242188 = 1.801235556602478 + 1.0 * 6.664386749267578
Epoch 170, val loss: 1.7962970733642578
Epoch 180, training loss: 8.42341423034668 = 1.7946382761001587 + 1.0 * 6.6287760734558105
Epoch 180, val loss: 1.7902226448059082
Epoch 190, training loss: 8.387081146240234 = 1.788159728050232 + 1.0 * 6.598921775817871
Epoch 190, val loss: 1.7844735383987427
Epoch 200, training loss: 8.355531692504883 = 1.7816089391708374 + 1.0 * 6.573923110961914
Epoch 200, val loss: 1.7788262367248535
Epoch 210, training loss: 8.328128814697266 = 1.774801254272461 + 1.0 * 6.5533270835876465
Epoch 210, val loss: 1.77310049533844
Epoch 220, training loss: 8.302390098571777 = 1.767652988433838 + 1.0 * 6.5347371101379395
Epoch 220, val loss: 1.7671616077423096
