r	p_Base
0	0.5
1	0.7857142857142857142857142857
2	0.9
3	0.9057142857142857142857142857
4	0.9441632653061224489795918367
5	0.9714413994169096209912536443
6	0.9744032653061224489795918367
7	0.9827813994169096209912536443
8	0.9904544283215326947105372761
9	0.9927832794169096209912536443
10	0.9944551803215326947105372761
11	0.9967148564806568691616588326
12	0.9980558571215326947105372761
13	0.9982001356606568691616588326
14	0.9988560809922815153549966426
15	0.999368903972200649437855704
16	0.9994237546948775153549966426
17	0.999601134123262649437855704
18	0.999770045938709649759081016
19	0.999822217227073673437855704
20	0.999861880458754228959081016
